Locality,DecimalLatitude,DecimalLongitude
Tinline Valley by old homestead,-41.256436,173.496696
Ridge above North Stream /Moa confluence,-43.128866,171.242263
"The Gorge Creek, Pikikiruna Range, N.W. Nelson",-40.953007,172.846799
Lindis Pass,-44.588348,169.64329
"Hawkes Bay, S. Hawkes Bay, Makotuku",-40.134586,176.227777
"Tata Point, N.W. Nelson",-40.8042,172.9167
Buller County: Dolomite Point Scenic Reserve.,-42.115004,171.326531
Oamaru,-45.096145,170.98057
"Tiritiri Matangi, entrance to lighthouse on wooden carving of Takahe",-36.605422,174.895235
"Canterbury, Lake Tekapo.",-44.008729,170.479332
Bragg Bay,-46.889441,168.137268
Tin Range,-47.132004,167.750132
"Wairua Fall, Whangarei Co",-35.746252,174.083948
Horokiwi Hill,-41.183333,174.866666
Springs Junction,-42.333134,172.181044
"Rotorua, Tikitere",-38.064575,176.355697
St. Albans,-43.5122,172.64
"Totara Reserve, Pohangina V.,",-40.12187,175.85953
"Marlborough, Near Hapuka [Hapuku] River, Kaikoura area",-42.310593,173.708619
"Horowhenua District, Hokio, near stream mouth",-40.600782,175.174441
"Kaitake Range - Egmont National Park, Timaru Stream",-39.194039,173.96546
"Auckland, Onehunga",-36.916,174.783
"Mead Hill, S.W. of Chalk Ra., Marlborough",-41.94596,173.8213
"Deep Bay, Stewart Island",-46.905,168.135
"Access point Werati beach, Cape Reinga",-34.461615,172.68789
"Aulds Creek, 2m S. of Reefton, Inangahua Co., Nelson",-42.1417,171.87067
"Whangarei County, Whangaruru North Head",-35.379657,174.371659
"Tauranga Bat, Buller Co.",-41.77234,171.448545
"track to Jack's Crk, Maimai Valley, west of Reefton",-42.08683,171.769779
Takaka Hill Track,-41.031047,172.866496
"Whanganui, Durie Hill, 22 Forres St",-39.93433,175.06291
"North Island, Matata, channel near NW Lagoon",-37.88689,176.76088
"Westland, Punakaiki Ecological District, Mahers Swamp.",-42.167596,171.322605
"Hunua Ranges, Ploughs Road",-37.040231,175.178971
"Paparoa Range, Charleston, Metro Cave",-41.933333,171.466666
"Mackenzie Basin, N.W. of Twizel",-44.222373,170.034536
"Fiordland, Mount George, rocky basin immediately north of peak.",-45.456699,167.23158
"Mount Egmont, Dawson Falls Road",-39.316111,174.1
Great Barrier Island,-36.239936,175.394318
"Blue Mountains Ridge, Silverstream, Hutt Valley",-41.1376,175.141
"Christchurch, Addington, old Addington Railway workshops site",-43.546775,172.603877
"New Zealand, North Island, Te Paki Ecological Region and District, Te Paki, North Cape, North Cape Scientific Reserve, Surville Cliffs, ""Galloway Bush""",-34.394472,173.009026
"Omahuta State Forest, near Mangamuka Bridge, Kauri Sanctury",-35.23915,173.626731
"Junction Jones / Hinds-Arundel Roads, Canty. Plains",-43.980207,171.411215
"North Auckland, shore-line west of Duck Creek, Manukau Harbour",-36.823946,174.710592
"Deer Spur Walk, Peel Forest Park, Stop 5",-43.891,171.24
"Auckland Islands, Magnetic Survey Bay ",-50.866666,166.008333
Wellington city,-41.310315,174.767769
"Port Hills, near Victoria Park",-43.593,172.645
Cape Runaway area,-37.577717,178.087846
"Puketi Forest, Waipapa River Track",-35.275583,173.685766
Head of Flea Bay,-43.871442,172.999854
"North Canterbury, Lewis River, Dan's Creek",-42.484484,172.388136
Near Te Waewae,-46.202875,167.65543
"The Dunes, Kairaki (nr Christchurch).",-43.376404,172.705135
"South Canterbury, Hamner Range",-42.458214,172.902691
"Hunters Hills, Road to Meyer's Pass",-44.5,170.816111
"Mokau River, Tauwhare Scenic Reserve",-38.712915,174.651343
Hukutaia Domain,-38.068638,177.2658
"Kawarau Gorge, Gentle Annie",-41.16778,173.49039
"Kopuku, Kopuku Stream",-37.280534,175.170387
"Nevis River, 0.5 km from mouth",-45.083055,169.016111
"Main South Road, just North of Rakaia river, Bankside near Highway 1",-43.712147,172.085058
Stewart Island:  Near summit of Mt Anglem,-46.742386,167.911122
"Brattys Bush Scenic Reserve, Ngunguru",-35.610598,174.486687
S. Hope Range,-41.602216,172.604233
"Wanganui, Wanganui city, corner Ingestre and St Hill Streets",-39.931961,175.044108
"South East Is, Chatham Group",-44.34,-176.176
"Raukumara Range, Mount Honokawa.",-37.83989,177.98225
